route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
128.4,1,86,Metro Horta - Albert Llanas,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=128,FFCC00,000000
129.2,1,87,Metro Horta - Travessera De Gràcia,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=129,FFCC00,000000
130.2,35,A1,Aerobus (Pl. Catalunya - Aeroport Terminal T1),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=130,FFCC00,000000
132.6,44,B14,Sta. Coloma De G. - St. Adrià De B.(Est. Rodalies),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=132,FFCC00,000000
139.3,44,B21,Barcelona (Besòs) - Sant Adrià De B. ,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=139,FFCC00,000000
141.8,44,B23,Barcelona (Diagonal Mar) - Badalona (Montigalà),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=141,FFCC00,000000
142.10,44,B24,Barcelona (Rda. Sant Pere) - Hospital Can Ruti,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=142,FFCC00,000000
143.7,44,B25,Barcelona (Rda. Sant Pere) - Badalona (Pomar),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=143,FFCC00,000000
146.7,44,B29,Badalona (Montigalà) - Tiana (Poliesp. Municipal),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=146,FFCC00,000000
156.2,22,CF1,Castelldefels - Les Botigues De Sitges,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=156,FFCC00,000000
157.7,34,EP1,Espluguesde L. - Barcelona,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=157,FFCC00,000000
158.5,34,EP2,Esplugues (Hosp. St. Joan De Déu - La Miranda),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=158,FFCC00,000000
163.4,22,Ga1,Ca N'Espinós / La Sentiu  - Gavà Mar,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=163,FFCC00,000000
164.5,34,JM,Barcelona - Zona Universitària - Sant Just Desvern,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=164,FFCC00,000000
165.5,34,JT,Sant Joan Despí - Sant Just Desvern,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=165,FFCC00,000000
167.15,28,L10,El Prat De L.  -  Sant Feliu De L,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=167,FFCC00,000000
168.2,28,L11,Sant Joan Despí - L'Hospitalet De Llobregat,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=168,FFCC00,000000
173.6,28,L16,L'Hospitalet De L. (Pubilla Cases) - Barcelona,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=173,FFCC00,000000
177.2,25,L46,Cornellà De L. - Sant Just Desvern,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=177,FFCC00,000000
181.9,25,L52,L'Hospitalet (Ciutat De La Justícia) - Sant Feliu ,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=181,FFCC00,000000
194.6,25,L70,Barcelona (Pl. Espanya) - Sant Boi De L.,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=194,FFCC00,000000
195.7,25,L72,Barcelona (Pl. Espanya) - Sant Boi De L.,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=195,FFCC00,000000
196.7,25,L74,Sant Boi (Pl. Forces Armades) - Cornellà De L.,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=196,FFCC00,000000
197.5,25,L75,Cornellà De L. (Sant Ildefons) - Sant Boi De L.,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=197,FFCC00,000000
198.5,25,L76,Sant Boi De L. - Sta. Coloma De Cervelló,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=198,FFCC00,000000
199.6,25,L77,St. Joan Despí (H. C. M. Broggi) - Aeroport T1,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=199,FFCC00,000000
200.5,25,L78,Sant Boi De L. - El Prat De L.,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=200,FFCC00,000000
202.6,22,L80,Barcelona (Pl. Espanya) - Gavà (Can Tries),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=202,FFCC00,000000
203.3,22,L81,Barcelona (Pl. Espanya) - Gavà (Can Tries),Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=203,FFCC00,000000
204.6,22,L82,L'Hospitalet De L. (Ciutat De La Justícia) - Gavà,Información de ruta - www.ambmobilitat.cat,3,http://www.ambmobilitat.cat/Principales/TiraLinea.aspx?linea=204,FFCC00,000000
